brand_name,generic_name,status,earliest_expiry,days_until,category,route,strength,approval_date,patent_count,approval_year,approval_month,brand_price_monthly,brand_price_annual,generic_price_monthly,generic_price_annual,monthly_savings,annual_savings,savings_percent,generic_available
PROTONIX,PANTOPRAZOLE SODIUM,Expired,2024-09-30,-536,Oral,"FOR SUSPENSION, DELAYED RELEASE;ORAL",EQ 40MG BASE,2007-11-14,8,2007.0,11.0,114.41,1372.92,11.57,138.84,102.84,1234.08,89.9,Yes
ABRAXANE,PACLITAXEL,Expired,2024-10-27,-509,Injectable,POWDER;INTRAVENOUS,100MG/VIAL,2005-01-07,18,2005.0,1.0,2924.77,35097.24,459.9,5518.8,2464.87,29578.44,84.3,Yes
BRILINTA,TICAGRELOR,Expired,2024-10-30,-506,Oral,TABLET;ORAL,60MG,2015-09-03,26,2015.0,9.0,682.71,8192.52,95.07,1140.84,587.64,7051.68,86.1,Yes
KUVAN,SAPROPTERIN DIHYDROCHLORIDE,Expired,2024-11-17,-488,Oral,POWDER;ORAL,100MG/PACKET,2013-12-19,42,2013.0,12.0,248.64,2983.68,36.8,441.6,211.84,2542.08,85.2,Yes
DIPRIVAN,PROPOFOL,Expired,2024-12-01,-474,Injectable,INJECTABLE;INJECTION,10MG/ML,1996-06-11,2,1996.0,6.0,954.56,11454.72,200.46,2405.52,754.1,9049.2,79.0,Yes
VYZULTA,LATANOPROSTENE BUNOD,Expired,2025-01-05,-439,Eye Care,SOLUTION/DROPS;OPHTHALMIC,0.024%,2017-11-02,4,2017.0,11.0,173.36,2080.32,22.39,268.68,150.97,1811.64,87.1,Yes
DESCOVY,EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,120MG;EQ 15MG BASE,2022-01-07,16,2022.0,1.0,312.97,3755.64,53.05,636.6,259.92,3119.04,83.0,Yes
GENVOYA,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,150MG;150MG;200MG;EQ 10MG BASE,2015-11-05,20,2015.0,11.0,467.33,5607.96,86.93,1043.16,380.4,4564.8,81.4,Yes
VEMLIDY,TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,EQ 25MG BASE,2016-11-10,10,2016.0,11.0,402.36,4828.32,71.61,859.32,330.75,3969.0,82.2,Yes
EDARBI,AZILSARTAN KAMEDOXOMIL,Expired,2025-01-07,-437,Oral,TABLET;ORAL,EQ 40MG MEDOXOMIL,2011-02-25,6,2011.0,2.0,303.86,3646.32,31.59,379.08,272.27,3267.24,89.6,Yes
BIKTARVY,BICTEGRAVIR SODIUM; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,EQ 30MG BASE;120MG;EQ 15MG BASE,2021-10-07,22,2021.0,10.0,528.3,6339.6,78.22,938.64,450.08,5400.96,85.2,Yes
EDARBYCLOR,AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,EQ 40MG MEDOXOMIL;12.5MG,2011-12-20,10,2011.0,12.0,197.65,2371.8,21.84,262.08,175.81,2109.72,89.0,Yes
TRILIPIX,CHOLINE FENOFIBRATE,Expired,2025-01-07,-437,Oral,"CAPSULE, DELAYED RELEASE;ORAL",EQ 45MG FENOFIBRIC ACID,2008-12-15,2,2008.0,12.0,304.5,3654.0,37.82,453.84,266.68,3200.16,87.6,Yes
ODEFSEY,EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-01-07,-437,Oral,TABLET;ORAL,200MG;EQ 25MG BASE;EQ 25MG BASE,2016-03-01,7,2016.0,3.0,356.45,4277.4,70.81,849.72,285.64,3427.68,80.1,Yes
UZEDY,RISPERIDONE,Expired,2025-01-12,-432,Injectable,"SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",50MG/0.14ML (50MG/0.14ML),2023-04-28,93,2023.0,4.0,1640.17,19682.04,269.4,3232.8,1370.77,16449.24,83.6,Yes
BEPREVE,BEPOTASTINE BESILATE,Expired,2025-01-13,-431,Eye Care,SOLUTION/DROPS;OPHTHALMIC,1.5%,2009-09-08,1,2009.0,9.0,414.07,4968.84,62.06,744.72,352.01,4224.12,85.0,Yes
EVZIO (AUTOINJECTOR),NALOXONE HYDROCHLORIDE,Expired,2025-01-15,-429,Injectable,"SOLUTION;INTRAMUSCULAR, SUBCUTANEOUS",2MG/0.4ML (2MG/0.4ML),2016-10-19,24,2016.0,10.0,999.18,11990.16,211.64,2539.68,787.54,9450.48,78.8,Yes
ENTRESTO,SACUBITRIL; VALSARTAN,Expired,2025-01-15,-429,Oral,TABLET;ORAL,24MG;26MG,2015-07-07,30,2015.0,7.0,459.96,5519.52,78.31,939.72,381.65,4579.8,83.0,Yes
EVZIO,NALOXONE HYDROCHLORIDE,Expired,2025-01-15,-429,Injectable,"SOLUTION;INTRAMUSCULAR, SUBCUTANEOUS",0.4MG/0.4ML (0.4MG/0.4ML),2014-04-03,24,2014.0,4.0,1981.04,23772.48,408.02,4896.24,1573.02,18876.24,79.4,Yes
ENTRESTO SPRINKLE,SACUBITRIL; VALSARTAN,Expired,2025-01-15,-429,Oral,"CAPSULE, PELLETS;ORAL",6MG;6MG,2024-04-12,8,2024.0,4.0,132.52,1590.24,13.38,160.56,119.14,1429.68,89.9,Yes
SANCUSO,GRANISETRON,Expired,2025-01-22,-422,Other,"FILM, EXTENDED RELEASE;TRANSDERMAL",3.1MG/24HR,2008-09-12,1,2008.0,9.0,403.77,4845.24,73.75,885.0,330.02,3960.24,81.7,Yes
LOCOID,HYDROCORTISONE BUTYRATE,Expired,2025-01-23,-421,Topical,LOTION;TOPICAL,0.1%,2007-05-18,1,2007.0,5.0,134.57,1614.84,27.15,325.8,107.42,1289.04,79.8,Yes
HORIZANT,GABAPENTIN ENACARBIL,Expired,2025-01-24,-420,Oral,"TABLET, EXTENDED RELEASE;ORAL",300MG,2011-12-13,14,2011.0,12.0,145.54,1746.48,15.83,189.96,129.71,1556.52,89.1,Yes
SPRYCEL,DASATINIB,Expired,2025-02-04,-409,Oral,TABLET;ORAL,20MG,2006-06-28,24,2006.0,6.0,764.22,9170.64,103.22,1238.64,661.0,7932.0,86.5,Yes
EPANOVA,OMEGA-3-CARBOXYLIC ACIDS,Expired,2025-02-07,-406,Oral,CAPSULE;ORAL,1GM CONTAINS AT LEAST 850MG OF POLYUNSATURATED FATTY ACIDS,2014-05-05,7,2014.0,5.0,775.94,9311.28,80.17,962.04,695.77,8349.24,89.7,Yes
KYBELLA,DEOXYCHOLIC ACID,Expired,2025-02-08,-405,Injectable,SOLUTION;SUBCUTANEOUS,20MG/2ML (10MG/ML),2015-04-29,16,2015.0,4.0,2520.99,30251.88,397.96,4775.52,2123.03,25476.36,84.2,Yes
ZURAGARD,ISOPROPYL ALCOHOL,Expired,2025-02-08,-405,Topical,SOLUTION;TOPICAL,70%,2019-04-26,7,2019.0,4.0,177.48,2129.76,33.67,404.04,143.81,1725.72,81.0,Yes
ZOLINZA,VORINOSTAT,Expired,2025-02-09,-404,Oral,CAPSULE;ORAL,100MG,2006-10-06,4,2006.0,10.0,168.37,2020.44,19.07,228.84,149.3,1791.6,88.7,Yes
SCENESSE,AFAMELANOTIDE,Expired,2025-02-11,-402,Injectable,IMPLANT;SUBCUTANEOUS,16MG,2019-10-08,2,2019.0,10.0,2210.58,26526.96,457.05,5484.6,1753.53,21042.36,79.3,Yes
HYSINGLA ER,HYDROCODONE BITARTRATE,Expired,2025-02-13,-400,Oral,"TABLET, EXTENDED RELEASE;ORAL",20MG,2014-11-20,140,2014.0,11.0,408.11,4897.32,68.95,827.4,339.16,4069.92,83.1,Yes
IZERVAY,AVACINCAPTAD PEGOL SODIUM,Expired,2025-02-14,-399,Other,SOLUTION;INTRAVITREAL,EQ 2MG BASE/0.1ML (EQ 2MG BASE/0.1ML),2023-08-04,9,2023.0,8.0,161.02,1932.24,37.04,444.48,123.98,1487.76,77.0,Yes
INTERMEZZO,ZOLPIDEM TARTRATE,Expired,2025-02-16,-397,Oral,TABLET;SUBLINGUAL,1.75MG,2011-11-23,8,2011.0,11.0,446.62,5359.44,53.6,643.2,393.02,4716.24,88.0,Yes
DURYSTA,BIMATOPROST,Expired,2025-02-19,-394,Eye Care,IMPLANT;OPHTHALMIC,10MCG,2020-03-04,8,2020.0,3.0,113.76,1365.12,13.28,159.36,100.48,1205.76,88.3,Yes
DIFFERIN,ADAPALENE,Expired,2025-02-23,-390,Topical,GEL;TOPICAL,0.3%,2007-06-19,4,2007.0,6.0,370.98,4451.76,59.53,714.36,311.45,3737.4,84.0,Yes
XIFAXAN,RIFAXIMIN,Expired,2025-02-23,-390,Oral,TABLET;ORAL,200MG,2004-05-25,37,2004.0,5.0,281.15,3373.8,46.01,552.12,235.14,2821.68,83.6,Yes
ARCAPTA NEOHALER,INDACATEROL MALEATE,Expired,2025-02-25,-388,Respiratory,POWDER;INHALATION,EQ 75MCG BASE,2011-07-01,2,2011.0,7.0,448.14,5377.68,121.29,1455.48,326.85,3922.2,72.9,Yes
RUKOBIA,FOSTEMSAVIR TROMETHAMINE,Expired,2025-02-25,-388,Oral,"TABLET, EXTENDED RELEASE;ORAL",EQ 600MG BASE,2020-07-02,3,2020.0,7.0,318.2,3818.4,32.83,393.96,285.37,3424.44,89.7,Yes
INCIVEK,TELAPREVIR,Expired,2025-02-25,-388,Oral,TABLET;ORAL,375MG,2011-05-23,2,2011.0,5.0,464.05,5568.6,89.85,1078.2,374.2,4490.4,80.6,Yes
UTIBRON NEOHALER,GLYCOPYRROLATE; INDACATEROL MALEATE,Expired,2025-02-25,-388,Respiratory,POWDER;INHALATION,15.6MCG/INH;27.5MCG/INH,2015-10-29,3,2015.0,10.0,396.02,4752.24,81.26,975.12,314.76,3777.12,79.5,Yes
CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,Expired,2025-02-27,-386,Topical,CLOTH;TOPICAL,2%,2005-04-25,3,2005.0,4.0,139.15,1669.8,28.4,340.8,110.75,1329.0,79.6,Yes
VELTASSA,PATIROMER SORBITEX CALCIUM,Expired,2025-02-27,-386,Oral,POWDER;ORAL,EQ 1GM BASE/PACKET,2023-10-02,32,2023.0,10.0,778.71,9344.52,133.09,1597.08,645.62,7747.44,82.9,Yes
XALKORI,CRIZOTINIB,Expired,2025-03-01,-384,Oral,"CAPSULE, PELLETS;ORAL",20MG,2023-09-07,35,2023.0,9.0,642.59,7711.08,120.23,1442.76,522.36,6268.32,81.3,Yes
LYSTEDA,TRANEXAMIC ACID,Expired,2025-03-04,-381,Oral,TABLET;ORAL,650MG,2009-11-13,8,2009.0,11.0,757.65,9091.8,129.87,1558.44,627.78,7533.36,82.9,Yes
JUXTAPID,LOMITAPIDE MESYLATE,Expired,2025-03-07,-378,Oral,CAPSULE;ORAL,EQ 5MG BASE,2012-12-21,48,2012.0,12.0,726.38,8716.56,130.87,1570.44,595.51,7146.12,82.0,Yes
YUPELRI,REVEFENACIN,Expired,2025-03-10,-375,Respiratory,SOLUTION;INHALATION,175MCG/3ML,2018-11-09,21,2018.0,11.0,419.05,5028.6,98.03,1176.36,321.02,3852.24,76.6,Yes
XIIDRA,LIFITEGRAST,Expired,2025-03-10,-375,Eye Care,SOLUTION/DROPS;OPHTHALMIC,5%,2016-07-11,11,2016.0,7.0,468.75,5625.0,85.07,1020.84,383.68,4604.16,81.9,Yes
OGSIVEO,NIROGACESTAT HYDROBROMIDE,Expired,2025-03-11,-374,Oral,TABLET;ORAL,EQ 50MG BASE,2023-11-27,90,2023.0,11.0,161.94,1943.28,17.49,209.88,144.45,1733.4,89.2,Yes
VIBERZI,ELUXADOLINE,Expired,2025-03-14,-371,Oral,TABLET;ORAL,75MG,2015-05-27,42,2015.0,5.0,237.19,2846.28,44.94,539.28,192.25,2307.0,81.1,Yes
OSENI,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,Expired,2025-03-15,-370,Oral,TABLET;ORAL,EQ 12.5MG BASE;EQ 15MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2013-01-25,24,2013.0,1.0,131.66,1579.92,20.38,244.56,111.28,1335.36,84.5,Yes
KAZANO,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,Expired,2025-03-15,-370,Oral,TABLET;ORAL,EQ 12.5MG BASE;1GM,2013-01-25,8,2013.0,1.0,327.73,3932.76,59.56,714.72,268.17,3218.04,81.8,Yes
ABILIFY ASIMTUFII,ARIPIPRAZOLE,Expired,2025-03-15,-370,Other,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",720MG/2.4ML (300MG/ML),2023-04-27,20,2023.0,4.0,294.34,3532.08,57.46,689.52,236.88,2842.56,80.5,Yes
ABILIFY MAINTENA KIT,ARIPIPRAZOLE,Expired,2025-03-15,-370,Other,"FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",300MG/VIAL,2013-02-28,72,2013.0,2.0,235.67,2828.04,50.52,606.24,185.15,2221.8,78.6,Yes
NESINA,ALOGLIPTIN BENZOATE,Expired,2025-03-15,-370,Oral,TABLET;ORAL,EQ 6.25MG BASE,2013-01-25,12,2013.0,1.0,680.12,8161.44,103.81,1245.72,576.31,6915.72,84.7,Yes
OXAYDO,OXYCODONE HYDROCHLORIDE,Expired,2025-03-16,-369,Oral,TABLET;ORAL,5MG,2011-06-17,2,2011.0,6.0,349.73,4196.76,60.56,726.72,289.17,3470.04,82.7,Yes
LUMIGAN,BIMATOPROST,Expired,2025-03-16,-369,Eye Care,SOLUTION/DROPS;OPHTHALMIC,0.01%,2010-08-31,13,2010.0,8.0,212.37,2548.44,22.97,275.64,189.4,2272.8,89.2,Yes
XTAMPZA ER,OXYCODONE,Expired,2025-03-21,-364,Oral,"CAPSULE, EXTENDED RELEASE;ORAL",9MG,2016-04-26,60,2016.0,4.0,479.89,5758.68,50.89,610.68,429.0,5148.0,89.4,Yes
GLUMETZA,METFORMIN HYDROCHLORIDE,Expired,2025-03-23,-362,Oral,"TABLET, EXTENDED RELEASE;ORAL",1GM,2005-06-03,1,2005.0,6.0,198.65,2383.8,24.77,297.24,173.88,2086.56,87.5,Yes
FORTEO,TERIPARATIDE,Expired,2025-03-25,-360,Injectable,SOLUTION;SUBCUTANEOUS,0.75MG/3ML (0.25MG/ML),2002-11-26,1,2002.0,11.0,2505.49,30065.88,415.8,4989.6,2089.69,25076.28,83.4,Yes
CONTRAVE,BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE,Expired,2025-03-26,-359,Oral,"TABLET, EXTENDED RELEASE;ORAL",90MG;8MG,2014-09-10,19,2014.0,9.0,152.19,1826.28,28.49,341.88,123.7,1484.4,81.3,Yes
OXYCONTIN,OXYCODONE HYDROCHLORIDE,Expired,2025-03-30,-355,Oral,"TABLET, EXTENDED RELEASE;ORAL",10MG,2010-04-05,137,2010.0,4.0,790.82,9489.84,96.42,1157.04,694.4,8332.8,87.8,Yes
TARGINIQ,NALOXONE HYDROCHLORIDE; OXYCODONE HYDROCHLORIDE,Expired,2025-03-30,-355,Oral,"TABLET, EXTENDED RELEASE;ORAL",5MG;10MG,2014-07-23,6,2014.0,7.0,640.57,7686.84,126.57,1518.84,514.0,6168.0,80.2,Yes
TEGSEDI,INOTERSEN SODIUM,Expired,2025-04-01,-353,Injectable,SOLUTION;SUBCUTANEOUS,EQ 284MG BASE/1.5ML (EQ 189.3MG BASE/ML),2018-10-05,4,2018.0,10.0,996.79,11961.48,183.1,2197.2,813.69,9764.28,81.6,Yes
INVOKAMET,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,Expired,2025-04-11,-343,Oral,TABLET;ORAL,50MG;500MG,2014-08-08,60,2014.0,8.0,103.87,1246.44,12.28,147.36,91.59,1099.08,88.2,Yes
INVOKAMET XR,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,Expired,2025-04-11,-343,Oral,"TABLET, EXTENDED RELEASE;ORAL",50MG;1GM,2016-09-20,56,2016.0,9.0,670.82,8049.84,120.06,1440.72,550.76,6609.12,82.1,Yes
INVOKANA,CANAGLIFLOZIN,Expired,2025-04-11,-343,Oral,TABLET;ORAL,100MG,2013-03-29,28,2013.0,3.0,594.8,7137.6,98.66,1183.92,496.14,5953.68,83.4,Yes
BYDUREON PEN,EXENATIDE SYNTHETIC,Expired,2025-04-13,-341,Injectable,"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",2MG,2014-02-28,64,2014.0,2.0,2322.52,27870.24,464.08,5568.96,1858.44,22301.28,80.0,Yes
BYDUREON,EXENATIDE SYNTHETIC,Expired,2025-04-13,-341,Injectable,"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",2MG/VIAL,2012-01-27,64,2012.0,1.0,2428.18,29138.16,499.08,5988.96,1929.1,23149.2,79.4,Yes
FARXIGA,DAPAGLIFLOZIN,Expired,2025-04-13,-341,Oral,TABLET;ORAL,5MG,2014-01-08,76,2014.0,1.0,151.83,1821.96,26.1,313.2,125.73,1508.76,82.8,Yes
BYDUREON BCISE,EXENATIDE SYNTHETIC,Expired,2025-04-13,-341,Injectable,"SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",2MG/0.85ML (2MG/0.85ML),2017-10-20,76,2017.0,10.0,1396.16,16753.92,241.32,2895.84,1154.84,13858.08,82.7,Yes
KYPROLIS,CARFILZOMIB,Expired,2025-04-14,-340,Injectable,POWDER;INTRAVENOUS,10MG/VIAL,2018-06-07,69,2018.0,6.0,789.67,9476.04,197.13,2365.56,592.54,7110.48,75.0,Yes
SYMTUZA,COBICISTAT; DARUNAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,Expired,2025-04-17,-337,Oral,TABLET;ORAL,150MG;800MG;200MG;EQ 10MG BASE,2018-07-17,14,2018.0,7.0,704.17,8450.04,139.06,1668.72,565.11,6781.32,80.3,Yes
EDURANT,RILPIVIRINE HYDROCHLORIDE,Expired,2025-04-21,-333,Oral,TABLET;ORAL,EQ 25MG BASE,2011-05-20,6,2011.0,5.0,536.31,6435.72,88.51,1062.12,447.8,5373.6,83.5,Yes
JULUCA,DOLUTEGRAVIR SODIUM; RILPIVIRINE HYDROCHLORIDE,Expired,2025-04-21,-333,Oral,TABLET;ORAL,EQ 50MG BASE;EQ 25MG BASE,2017-11-21,7,2017.0,11.0,331.63,3979.56,39.78,477.36,291.85,3502.2,88.0,Yes
EDURANT PED,RILPIVIRINE HYDROCHLORIDE,Expired,2025-04-21,-333,Oral,"TABLET, FOR SUSPENSION;ORAL",EQ 2.5MG BASE,2024-03-15,2,2024.0,3.0,144.49,1733.88,24.28,291.36,120.21,1442.52,83.2,Yes
CABENUVA KIT,CABOTEGRAVIR; RILPIVIRINE,Expired,2025-04-21,-333,Other,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",400MG/2ML (200MG/ML);600MG/2ML (300MG/ML),2021-01-21,18,2021.0,1.0,255.49,3065.88,40.17,482.04,215.32,2583.84,84.3,Yes
COMPLERA,EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR DISOPROXIL FUMARATE,Expired,2025-04-21,-333,Oral,TABLET;ORAL,200MG;EQ 25MG BASE;300MG,2011-08-10,3,2011.0,8.0,327.63,3931.56,33.77,405.24,293.86,3526.32,89.7,Yes
VYXEOS,CYTARABINE; DAUNORUBICIN,Expired,2025-04-22,-332,Injectable,POWDER;INTRAVENOUS,100MG;44MG,2017-08-03,10,2017.0,8.0,2324.02,27888.24,408.49,4901.88,1915.53,22986.36,82.4,Yes
ANTARA (MICRONIZED),FENOFIBRATE,Expired,2025-04-22,-332,Oral,CAPSULE;ORAL,30MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2013-10-18,6,2013.0,10.0,546.29,6555.48,79.9,958.8,466.39,5596.68,85.4,Yes
FOTIVDA,TIVOZANIB HYDROCHLORIDE,Expired,2025-04-26,-328,Oral,CAPSULE;ORAL,EQ 0.89MG BASE,2021-03-10,6,2021.0,3.0,721.05,8652.6,134.71,1616.52,586.34,7036.08,81.3,Yes
ANORO ELLIPTA,UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,Expired,2025-04-27,-327,Respiratory,POWDER;INHALATION,EQ 0.0625MG BASE/INH;EQ 0.025MG BASE/INH,2013-12-18,11,2013.0,12.0,362.5,4350.0,98.86,1186.32,263.64,3163.68,72.7,Yes
TRELEGY ELLIPTA,FLUTICASONE FUROATE; UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,Expired,2025-04-27,-327,Respiratory,POWDER;INHALATION,0.1MG/INH;EQ 0.0625MG BASE/INH;EQ 0.025MG BASE/INH,2017-09-18,27,2017.0,9.0,203.82,2445.84,55.9,670.8,147.92,1775.04,72.6,Yes
INCRUSE ELLIPTA,UMECLIDINIUM BROMIDE,Expired,2025-04-27,-327,Respiratory,POWDER;INHALATION,EQ 0.0625MG BASE/INH,2014-04-30,4,2014.0,4.0,470.96,5651.52,114.23,1370.76,356.73,4280.76,75.7,Yes
STENDRA,AVANAFIL,Expired,2025-04-27,-327,Oral,TABLET;ORAL,50MG,2012-04-27,3,2012.0,4.0,632.55,7590.6,85.14,1021.68,547.41,6568.92,86.5,Yes
INLYTA,AXITINIB,Expired,2025-04-29,-325,Oral,TABLET;ORAL,1MG,2012-01-27,16,2012.0,1.0,492.89,5914.68,67.58,810.96,425.31,5103.72,86.3,Yes
AUVI-Q,EPINEPHRINE,Expired,2025-04-30,-324,Injectable,"SOLUTION;INTRAMUSCULAR, SUBCUTANEOUS",EQ 0.1MG/DELIVERY,2017-11-17,27,2017.0,11.0,2427.42,29129.04,603.86,7246.32,1823.56,21882.72,75.1,Yes
GLYXAMBI,EMPAGLIFLOZIN; LINAGLIPTIN,Expired,2025-05-02,-322,Oral,TABLET;ORAL,10MG;5MG,2015-01-30,68,2015.0,1.0,445.66,5347.92,46.35,556.2,399.31,4791.72,89.6,Yes
TRIJARDY XR,EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,Expired,2025-05-02,-322,Oral,"TABLET, EXTENDED RELEASE;ORAL",5MG;2.5MG;1GM,2020-01-27,119,2020.0,1.0,465.91,5590.92,86.99,1043.88,378.92,4547.04,81.3,Yes
JENTADUETO XR,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,Expired,2025-05-02,-322,Oral,"TABLET, EXTENDED RELEASE;ORAL",2.5MG;1GM,2016-05-27,40,2016.0,5.0,399.28,4791.36,63.03,756.36,336.25,4035.0,84.2,Yes
ONIVYDE,IRINOTECAN HYDROCHLORIDE,Expired,2025-05-02,-322,Injectable,"INJECTABLE, LIPOSOMAL;INTRAVENOUS",EQ 43MG BASE/10ML (EQ 4.3MG BASE/ML),2015-10-22,23,2015.0,10.0,563.55,6762.6,109.25,1311.0,454.3,5451.6,80.6,Yes
TRADJENTA,LINAGLIPTIN,Expired,2025-05-02,-322,Oral,TABLET;ORAL,5MG,2011-05-02,20,2011.0,5.0,175.52,2106.24,30.28,363.36,145.24,1742.88,82.7,Yes
JENTADUETO,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,Expired,2025-05-02,-322,Oral,TABLET;ORAL,2.5MG;1GM,2012-01-30,57,2012.0,1.0,122.0,1464.0,18.14,217.68,103.86,1246.32,85.1,Yes
AEMCOLO,RIFAMYCIN SODIUM,Expired,2025-05-03,-321,Oral,"TABLET, DELAYED RELEASE;ORAL",EQ 194MG BASE,2018-11-16,4,2018.0,11.0,545.49,6545.88,102.19,1226.28,443.3,5319.6,81.3,Yes
PEXEVA,PAROXETINE MESYLATE,Expired,2025-05-04,-320,Oral,TABLET;ORAL,EQ 10MG BASE,2003-07-03,4,2003.0,7.0,320.05,3840.6,60.83,729.96,259.22,3110.64,81.0,Yes
BRISDELLE,PAROXETINE MESYLATE,Expired,2025-05-04,-320,Oral,CAPSULE;ORAL,EQ 7.5MG BASE,2013-06-28,4,2013.0,6.0,456.0,5472.0,64.83,777.96,391.17,4694.04,85.8,Yes
VIZIMPRO,DACOMITINIB,Expired,2025-05-05,-319,Oral,TABLET;ORAL,15MG,2018-09-27,12,2018.0,9.0,735.3,8823.6,93.89,1126.68,641.41,7696.92,87.2,Yes
APTIOM,ESLICARBAZEPINE ACETATE,Expired,2025-05-06,-318,Oral,TABLET;ORAL,200MG,2013-11-08,60,2013.0,11.0,274.5,3294.0,43.71,524.52,230.79,2769.48,84.1,Yes
